"","species","genus","family","order","group","velocity","log.velocity"
"830","Hieracium amplexicaule","Hieracium","Asteraceae","Asterales","Angiosperms",1.8,0.255272505
"831","Hieracium vulgatum","Hieracium","Asteraceae","Asterales","Angiosperms",0.94,-0.026872146
"832","Carlina vulgaris","Carlina","Asteraceae","Asterales","Angiosperms",0.59,-0.229147988
"833","Calendula officinalis","Calendula","Asteraceae","Asterales","Angiosperms",3.89,0.589949601
"834","Calendula arvensis","Calendula","Asteraceae","Asterales","Angiosperms",3.54,0.549003262
"835","Buphthalmum salicifolium","Buphthalmum","Asteraceae","Asterales","Angiosperms",2.41,0.382017043
"836","Pulicaria dysenterica","Pulicaria","Asteraceae","Asterales","Angiosperms",0.42,-0.37675071
"837","Inula helenium","Inula","Asteraceae","Asterales","Angiosperms",0.68,-0.167491087
"838","Inula salicina","Inula","Asteraceae","Asterales","Angiosperms",0.28,-0.552841969
"839","Inula hirta","Inula","Asteraceae","Asterales","Angiosperms",0.65,-0.187086643
"840","Inula britannica","Inula","Asteraceae","Asterales","Angiosperms",0.29,-0.537602002
"841","Cichorium intybus","Cichorium","Asteraceae","Asterales","Angiosperms",3.45,0.537819095
"842","Tolpis staticifolia","Tolpis","Asteraceae","Asterales","Angiosperms",0.45681,-0.340264398
"843","Chondrilla juncea","Chondrilla","Asteraceae","Asterales","Angiosperms",0.76,-0.119186408
"844","Jurinea cyanoides","Jurinea","Asteraceae","Asterales","Angiosperms",1.35,0.130333768
"845","Doronicum grandiflorum","Doronicum","Asteraceae","Asterales","Angiosperms",0.88786,-0.051655509
"846","Doronicum clusii","Doronicum","Asteraceae","Asterales","Angiosperms",0.94,-0.026872146
"847","Echinops sphaerocephalus","Echinops","Asteraceae","Asterales","Angiosperms",1.62,0.209515015
"848","Onopordum acanthium","Onopordum","Asteraceae","Asterales","Angiosperms",2.49,0.396199347
"849","Carduus tenuiflorus","Carduus","Asteraceae","Asterales","Angiosperms",0.79,-0.102372909
"850","Carduus crispus","Carduus","Asteraceae","Asterales","Angiosperms",1.33,0.123851641
"851","Carduus acanthoides","Carduus","Asteraceae","Asterales","Angiosperms",0.39,-0.408935393
"852","Carduus nutans","Carduus","Asteraceae","Asterales","Angiosperms",0.58,-0.236572006
"853","Carlina acaulis","Carlina","Asteraceae","Asterales","Angiosperms",0.85,-0.070581074
"854","Cirsium helenioides","Cirsium","Asteraceae","Asterales","Angiosperms",0.2,-0.698970004
"855","Cirsium palustre","Cirsium","Asteraceae","Asterales","Angiosperms",0.43,-0.366531544
"856","Cirsium arvense","Cirsium","Asteraceae","Asterales","Angiosperms",0.37,-0.431798276
"857","Cirsium vulgare","Cirsium","Asteraceae","Asterales","Angiosperms",0.9,-0.045757491
"858","Cirsium spinosissimum","Cirsium","Asteraceae","Asterales","Angiosperms",0.4997,-0.301290651
"859","Centaurea cyanus","Centaurea","Asteraceae","Asterales","Angiosperms",4.3,0.633468456
"860","Centaurea montana","Centaurea","Asteraceae","Asterales","Angiosperms",4.73,0.674861141
"861","Carthamus tinctorius","Carthamus","Asteraceae","Asterales","Angiosperms",4.31,0.63447727
"862","Carthamus lanatus","Carthamus","Asteraceae","Asterales","Angiosperms",3.16,0.499687083
"863","Centaurea scabiosa","Centaurea","Asteraceae","Asterales","Angiosperms",3.62,0.558708571
"864","Centaurea nigra","Centaurea","Asteraceae","Asterales","Angiosperms",4.03,0.605305046
"865","Centaurea jacea","Centaurea","Asteraceae","Asterales","Angiosperms",3.77,0.57634135
"866","Centaurea maculosa","Centaurea","Asteraceae","Asterales","Angiosperms",2.72,0.434568904
"867","Arctium minus","Arctium","Asteraceae","Asterales","Angiosperms",3.62,0.558708571
"868","Arctium lappa","Arctium","Asteraceae","Asterales","Angiosperms",4.46,0.649334859
"869","Saussurea alpina","Saussurea","Asteraceae","Asterales","Angiosperms",0.75,-0.124938737
"870","Scorzonera hispanica","Scorzonera","Asteraceae","Asterales","Angiosperms",1.78,0.250420002
"871","Scorzonera laciniata","Scorzonera","Asteraceae","Asterales","Angiosperms",1.05,0.021189299
"872","Scorzonera austriaca","Scorzonera","Asteraceae","Asterales","Angiosperms",1.11,0.045322979
"873","Tragopogon porrifolius","Tragopogon","Asteraceae","Asterales","Angiosperms",0.33,-0.48148606
"874","Tragopogon dubius","Tragopogon","Asteraceae","Asterales","Angiosperms",0.95,-0.022276395
"875","Tragopogon pratensis","Tragopogon","Asteraceae","Asterales","Angiosperms",0.73,-0.13667714
"876","Hieracium intybaceum","Hieracium","Asteraceae","Asterales","Angiosperms",0.8837,-0.053695145
"877","Hieracium pilosella","Hieracium","Asteraceae","Asterales","Angiosperms",0.845,-0.073143291
"878","Hieracium lactucella","Hieracium","Asteraceae","Asterales","Angiosperms",0.8,-0.096910013
"879","Hieracium aurantiacum","Hieracium","Asteraceae","Asterales","Angiosperms",0.38,-0.420216403
"880","Hieracium flagellare","Hieracium","Asteraceae","Asterales","Angiosperms",0.37,-0.431798276
"881","Hieracium piloselloides","Hieracium","Asteraceae","Asterales","Angiosperms",0.63,-0.200659451
"882","Hieracium caespitosum","Hieracium","Asteraceae","Asterales","Angiosperms",0.49,-0.30980392
"883","Hieracium echioides","Hieracium","Asteraceae","Asterales","Angiosperms",0.94,-0.026872146
"884","Hieracium alpinum","Hieracium","Asteraceae","Asterales","Angiosperms",0.92936,-0.031816024
"885","Hieracium porrifolium","Hieracium","Asteraceae","Asterales","Angiosperms",1.25,0.096910013
"886","Hieracium sabaudum","Hieracium","Asteraceae","Asterales","Angiosperms",0.87,-0.060480747
"887","Hieracium laevigatum","Hieracium","Asteraceae","Asterales","Angiosperms",0.93,-0.031517051
"888","Hieracium umbellatum","Hieracium","Asteraceae","Asterales","Angiosperms",0.84,-0.075720714
"889","Hieracium glaucum","Hieracium","Asteraceae","Asterales","Angiosperms",0.72,-0.142667504
"890","Hieracium murorum","Hieracium","Asteraceae","Asterales","Angiosperms",0.6,-0.22184875
"891","Hieracium bifidum","Hieracium","Asteraceae","Asterales","Angiosperms",0.58,-0.236572006
"892","Cicerbita alpina","Cicerbita","Asteraceae","Asterales","Angiosperms",1.02,0.008600172
"893","Lactuca virosa","Lactuca","Asteraceae","Asterales","Angiosperms",1.16,0.064457989
"894","Lactuca serriola","Lactuca","Asteraceae","Asterales","Angiosperms",0.77,-0.113509275
"895","Lactuca perennis","Lactuca","Asteraceae","Asterales","Angiosperms",1.756,0.244524512
"896","Lapsana communis","Lapsana","Asteraceae","Asterales","Angiosperms",3.59,0.555094449
"897","Crepis praemorsa","Crepis","Asteraceae","Asterales","Angiosperms",1.3,0.113943352
"898","Crepis mollis","Crepis","Asteraceae","Asterales","Angiosperms",0.54,-0.26760624
"899","Crepis paludosa","Crepis","Asteraceae","Asterales","Angiosperms",0.92,-0.036212173
"900","Crepis foetida","Crepis","Asteraceae","Asterales","Angiosperms",2.21,0.344392274
"901","Crepis vesicaria","Crepis","Asteraceae","Asterales","Angiosperms",0.4,-0.397940009
"902","Crepis capillaris","Crepis","Asteraceae","Asterales","Angiosperms",0.42,-0.37675071
"903","Crepis biennis","Crepis","Asteraceae","Asterales","Angiosperms",1.5,0.176091259
"904","Prenanthes purpurea","Prenanthes","Asteraceae","Asterales","Angiosperms",0.85,-0.070581074
"905","Hypochaeris glabra","Hypochaeris","Asteraceae","Asterales","Angiosperms",0.93,-0.031517051
"906","Picris hieracioides","Picris","Asteraceae","Asterales","Angiosperms",1.07,0.029383778
"907","Leontodon hispidus","Leontodon","Asteraceae","Asterales","Angiosperms",1.49,0.173186268
"908","Leontodon taraxacoides","Leontodon","Asteraceae","Asterales","Angiosperms",0.97,-0.013228266
"909","Leontodon incanus","Leontodon","Asteraceae","Asterales","Angiosperms",1,0
"910","Hypochaeris maculata","Hypochaeris","Asteraceae","Asterales","Angiosperms",0.83,-0.080921908
"911","Hypochaeris uniflora","Hypochaeris","Asteraceae","Asterales","Angiosperms",0.62,-0.207608311
"912","Sonchus arvensis","Sonchus","Asteraceae","Asterales","Angiosperms",1.3,0.113943352
"913","Aposeris foetida","Aposeris","Asteraceae","Asterales","Angiosperms",3.35,0.525044807
"914","Sonchus palustris","Sonchus","Asteraceae","Asterales","Angiosperms",0.43,-0.366531544
"915","Sonchus asper","Sonchus","Asteraceae","Asterales","Angiosperms",0.37,-0.431798276
"916","Sonchus oleraceus","Sonchus","Asteraceae","Asterales","Angiosperms",0.58,-0.236572006
"917","Cotula coronopifolia","Cotula","Asteraceae","Asterales","Angiosperms",1.55,0.190331698
"918","Tussilago farfara","Tussilago","Asteraceae","Asterales","Angiosperms",0.21,-0.677780705
"919","Homogyne alpina","Homogyne","Asteraceae","Asterales","Angiosperms",0.42092,-0.375800438
"920","Adenostyles leucophylla","Adenostyles","Asteraceae","Asterales","Angiosperms",0.72133,-0.141866005
"921","Senecio nemorensis","Senecio","Asteraceae","Asterales","Angiosperms",0.46,-0.337242168
"922","Senecio doronicum","Senecio","Asteraceae","Asterales","Angiosperms",0.52,-0.283996656
"923","Senecio vulgaris","Senecio","Asteraceae","Asterales","Angiosperms",0.42,-0.37675071
"924","Senecio vernalis","Senecio","Asteraceae","Asterales","Angiosperms",1.29,0.11058971
"925","Senecio sylvaticus","Senecio","Asteraceae","Asterales","Angiosperms",0.24,-0.619788758
"926","Senecio viscosus","Senecio","Asteraceae","Asterales","Angiosperms",0.66,-0.180456064
"927","Senecio squalidus","Senecio","Asteraceae","Asterales","Angiosperms",0.46,-0.337242168
"928","Senecio inaequidens","Senecio","Asteraceae","Asterales","Angiosperms",0.87,-0.060480747
"929","Aster amellus","Aster","Asteraceae","Asterales","Angiosperms",0.98,-0.008773924
"930","Cicerbita macrophylla","Cicerbita","Asteraceae","Asterales","Angiosperms",0.29,-0.537602002
"931","Aster tripolium","Aster","Asteraceae","Asterales","Angiosperms",0.87,-0.060480747
"932","Aster bellidiastrum","Aster","Asteraceae","Asterales","Angiosperms",0.39596,-0.402348684
"933","Bellis perennis","Bellis","Asteraceae","Asterales","Angiosperms",1.77,0.247973266
"934","Conyza bonariensis","Conyza","Asteraceae","Asterales","Angiosperms",0.29,-0.537602002
"935","Erigeron karvinskianus","Erigeron","Asteraceae","Asterales","Angiosperms",0.48,-0.318758763
"936","Conyza canadensis","Conyza","Asteraceae","Asterales","Angiosperms",0.49,-0.30980392
"937","Solidago virgaurea","Solidago","Asteraceae","Asterales","Angiosperms",0.83,-0.080921908
"938","Rudbeckia hirta","Rudbeckia","Asteraceae","Asterales","Angiosperms",2.13,0.328379603
"939","Solidago canadensis","Solidago","Asteraceae","Asterales","Angiosperms",0.46,-0.337242168
"940","Solidago gigantea","Solidago","Asteraceae","Asterales","Angiosperms",0.79,-0.102372909
"941","Artemisia campestris","Artemisia","Asteraceae","Asterales","Angiosperms",2.5,0.397940009
"942","Artemisia vulgaris","Artemisia","Asteraceae","Asterales","Angiosperms",1.55,0.190331698
"943","Leucanthemum vulgare","Leucanthemum","Asteraceae","Asterales","Angiosperms",2.87,0.457881897
"944","Chrysanthemum segetum","Chrysanthemum","Asteraceae","Asterales","Angiosperms",3.64,0.561101384
"945","Chrysanthemum coronarium","Chrysanthemum","Asteraceae","Asterales","Angiosperms",4.1,0.612783857
"946","Tanacetum vulgare","Tanacetum","Asteraceae","Asterales","Angiosperms",2.33,0.367355921
"947","Achillea ptarmica","Achillea","Asteraceae","Asterales","Angiosperms",2.27,0.356025857
"948","Tanacetum corymbosum","Tanacetum","Asteraceae","Asterales","Angiosperms",1.83,0.26245109
"949","Achillea nana","Achillea","Asteraceae","Asterales","Angiosperms",1.5084,0.178516524
"950","Achillea atrata","Achillea","Asteraceae","Asterales","Angiosperms",0.92424,-0.03421524
"951","Achillea nobilis","Achillea","Asteraceae","Asterales","Angiosperms",1.1353,0.055110638
"952","Achillea millefolium","Achillea","Asteraceae","Asterales","Angiosperms",1.92,0.283301229
"953","Achillea filipendulina","Achillea","Asteraceae","Asterales","Angiosperms",1.4,0.146128036
"954","Antennaria dioica","Antennaria","Asteraceae","Asterales","Angiosperms",0.17,-0.769551079
"955","Antennaria carpatica","Antennaria","Asteraceae","Asterales","Angiosperms",0.21,-0.677780705
"956","Logfia minima","Logfia","Asteraceae","Asterales","Angiosperms",0.24,-0.619788758
"957","Helichrysum arenarium","Helichrysum","Asteraceae","Asterales","Angiosperms",0.36,-0.443697499
"958","Bidens frondosa","Bidens","Asteraceae","Asterales","Angiosperms",2.4,0.380211242
"959","Bidens cernua","Bidens","Asteraceae","Asterales","Angiosperms",1.77,0.247973266
"960","Bidens tripartita","Bidens","Asteraceae","Asterales","Angiosperms",2.34,0.369215857
"961","Arnica montana","Arnica","Asteraceae","Asterales","Angiosperms",0.83,-0.080921908
"962","Eupatorium cannabinum","Eupatorium","Asteraceae","Asterales","Angiosperms",1.02,0.008600172
"963","Galinsoga ciliata","Galinsoga","Asteraceae","Asterales","Angiosperms",1.34,0.127104798
"964","Helianthus annuus","Helianthus","Asteraceae","Asterales","Angiosperms",5.44,0.7355989
"965","Xanthium strumarium","Xanthium","Asteraceae","Asterales","Angiosperms",4.39,0.64246452
"811","Petasites hybridus","Petasites","Asteraceae","Asterales","Angiosperms",0.28,-0.552841969
"969","Leontodon autumnalis","Leontodon","Asteraceae","Asterales","Angiosperms",1.89,0.276461804
"970","Leontodon pyrenaicus","Leontodon","Asteraceae","Asterales","Angiosperms",1.77,0.247973266
"823","Centaurea rhenana","Centaurea","Asteraceae","Asterales","Angiosperms",3.52,0.546542663
"822","Centaurea nigrescens","Centaurea","Asteraceae","Asterales","Angiosperms",3.57,0.552668216
"824","Centaurea triumfetti","Centaurea","Asteraceae","Asterales","Angiosperms",3.87,0.587710965
"967","Crepis terglouensis","Crepis","Asteraceae","Asterales","Angiosperms",0.78903,-0.102906484
"828","Gnaphalium luteo-album","Gnaphalium","Asteraceae","Asterales","Angiosperms",0.75,-0.124938737
"978","Telekia speciosissima","Telekia","Asteraceae","Asterales","Angiosperms",1.61,0.206825876
"829","Omalotheca supina","Omalotheca","Asteraceae","Asterales","Angiosperms",0.59,-0.229147988
"971","Aster lanceolatus","Aster","Asteraceae","Asterales","Angiosperms",0.39,-0.408935393
"973","Aster linosyris","Aster","Asteraceae","Asterales","Angiosperms",1.05,0.021189299
"972","Aster novi-belgii","Aster","Asteraceae","Asterales","Angiosperms",0.4,-0.397940009
"968","Leucanthemum heterophyllum","Leucanthemum","Asteraceae","Asterales","Angiosperms",2.39,0.378397901
"979","Rudbeckia laciniata","Rudbeckia","Asteraceae","Asterales","Angiosperms",3.29,0.517195898
"819","Filaginella uliginosa","Filaginella","Asteraceae","Asterales","Angiosperms",0.26,-0.585026652
"820","Hypochoeris radicata","Hypochoeris","Asteraceae","Asterales","Angiosperms",2.23,0.348304863
"980","Tripleurospermum perforatum","Tripleurospermum","Asteraceae","Asterales","Angiosperms",2.27,0.356025857
"797","Anthemis tinctoria","Anthemis","Asteraceae","Asterales","Angiosperms",2.71,0.432969291
"966","Cnicus benedictus","Cnicus","Asteraceae","Asterales","Angiosperms",4.24,0.627365857
"826","Bidens connata","Bidens","Asteraceae","Asterales","Angiosperms",2.48,0.394451681
"827","Bidens radiata","Bidens","Asteraceae","Asterales","Angiosperms",1.53,0.184691431
"810","Senecio erucifolius","Senecio","Asteraceae","Asterales","Angiosperms",0.38,-0.420216403
"808","Senecio paludosus","Senecio","Asteraceae","Asterales","Angiosperms",0.63,-0.200659451
"807","Senecio incanus","Senecio","Asteraceae","Asterales","Angiosperms",0.86847,-0.061245179
"806","Senecio jacobaea","Senecio","Asteraceae","Asterales","Angiosperms",1,0
"809","Senecio aquaticus","Senecio","Asteraceae","Asterales","Angiosperms",1.01,0.004321374
"825","Inula crithmoides","Inula","Asteraceae","Asterales","Angiosperms",0.62,-0.207608311
"981","Adenostyles alliariae","Adenostyles","Asteraceae","Asterales","Angiosperms",0.73,-0.13667714
"813","Leuzea rhapontica","Leuzea","Asteraceae","Asterales","Angiosperms",0.5,-0.301029996
"974","Achillea cartilaginea","Achillea","Asteraceae","Asterales","Angiosperms",2.5,0.397940009
"976","Artemisia maritima","Artemisia","Asteraceae","Asterales","Angiosperms",3.38,0.5289167
"977","Artemisia genipi","Artemisia","Asteraceae","Asterales","Angiosperms",1.6014,0.204499824
"804","Picris echioides","Picris","Asteraceae","Asterales","Angiosperms",0.95,-0.022276395
"805","Picris pauciflora","Picris","Asteraceae","Asterales","Angiosperms",3.36,0.526339277
"798","Leucanthemopsis alpina","Leucanthemopsis","Asteraceae","Asterales","Angiosperms",1.46,0.164352856
"815","Cirsium acaule","Cirsium","Asteraceae","Asterales","Angiosperms",0.387,-0.412289035
"816","Cirsium eriophorum","Cirsium","Asteraceae","Asterales","Angiosperms",0.62,-0.207608311
"818","Cirsium dissectum","Cirsium","Asteraceae","Asterales","Angiosperms",0.64,-0.193820026
"817","Cirsium pannonicum","Cirsium","Asteraceae","Asterales","Angiosperms",3.78,0.5774918
"802","Solidago altissima","Solidago","Asteraceae","Asterales","Angiosperms",0.28,-0.552841969
"803","Solidago graminifolia","Solidago","Asteraceae","Asterales","Angiosperms",0.165,-0.782516056
"799","Erigeron acer","Erigeron","Asteraceae","Asterales","Angiosperms",0.47,-0.327902142
"800","Erigeron alpinus","Erigeron","Asteraceae","Asterales","Angiosperms",0.67206,-0.172591952
"801","Hedypnois cretica","Hedypnois","Asteraceae","Asterales","Angiosperms",3.04,0.482873584
"812","Filago lutescens","Filago","Asteraceae","Asterales","Angiosperms",1.0897,0.037306951
"821","Taraxacum species","Taraxacum","Asteraceae","Asterales","Angiosperms",0.74,-0.13076828
"975","Matricaria maritima","Matricaria","Asteraceae","Asterales","Angiosperms",2.48,0.394451681
"814","Serratula tinctoria","Serratula","Asteraceae","Asterales","Angiosperms",1.05,0.021189299
