"","species","velocity","log.velocity"
"1","Juncus acutiflorus",1.3,0.113943352
"2","Juncus anceps",0.88,-0.055517328
"3","Juncus gerardi",1.84,0.264817823
"4","Juncus atratus",1.22,0.086359831
"5","Luzula multiflora",3.55,0.550228353
"6","Luzula pilosa",4.13,0.615950052
"7","Luzula nivea",2.95,0.469822016
"8","Luzula luzuloides",3.01,0.478566496
"9","Luzula alpinopilosa",2.2767,0.357305808
"10","Luzula sylvatica",4.13,0.615950052
"11","Luzula campestris",3.42,0.534026106
"12","Juncus capitatus",1.06,0.025305865
"13","Juncus squarrosus",2.45,0.389166084
"14","Juncus filiformis",1.72,0.235528447
"15","Juncus compressus",1.38,0.139879086
"16","Juncus ranarius",1.72,0.235528447
"17","Juncus bufonius",2.08,0.318063335
"18","Juncus inflexus",1.64,0.214843848
"19","Juncus effusus",1.66,0.220108088
"20","Juncus conglomeratus",1.03,0.012837225
"21","Juncus articulatus",1.58,0.198657087
"22","Juncus balticus",1.22,0.086359831
"23","Juncus bulbosus",1.12,0.049218023
"24","Juncus maritimus",1.67,0.222716471
"25","Carex scandinavica",2.91,0.463892989
"26","Carex curta",2.55,0.40654018
"27","Carex tomentosa",3.52,0.546542663
"28","Scirpus setaceus",2,0.301029996
"29","Scirpus maritimus",4.24,0.627365857
"30","Scirpus cespitosus",2.78,0.444044796
"31","Scirpus hudsonianus",0.37,-0.431798276
"32","Scirpus lacustris",3.62,0.558708571
"33","Scirpus triqueter",2.94,0.46834733
"34","Cladium mariscus",3.73,0.571708832
"35","Schoenus nigricans",3.47,0.540329475
"36","Carex secalina",2.21,0.344392274
"37","Rhynchospora fusca",2.87,0.457881897
"38","Rhynchospora alba",2.53,0.403120521
"39","Eleocharis quinqueflora",3.38,0.5289167
"40","Eleocharis multicaulis",2.98,0.474216264
"41","Eleocharis acicularis",3.68,0.565847819
"42","Eleocharis ovata",1.75,0.243038049
"43","Eleocharis mamillata",3.33,0.522444234
"44","Eleocharis uniglumis",3.57,0.552668216
"45","Cyperus fuscus",1.55,0.190331698
"46","Blysmus compressus",2.84,0.45331834
"47","Scirpus sylvaticus",1.87,0.271841607
"48","Eriophorum angustifolium",0.6,-0.22184875
"49","Eriophorum vaginatum",0.58,-0.236572006
"50","Carex pauciflora",2.43,0.385606274
"51","Carex baldensis",3.64,0.561101384
"52","Carex davalliana",2.84,0.45331834
"53","Carex dioica",3.09,0.489958479
"54","Carex remota",1.48,0.170261715
"55","Carex brizoides",2.14,0.330413773
"56","Carex chordorrhiza",3.25,0.511883361
"57","Carex disticha",3.01,0.478566496
"58","Carex bohemica",1.68,0.225309282
"59","Carex ovalis",2.1,0.322219295
"60","Carex arenaria",3.16,0.499687083
"61","Carex paniculata",2.63,0.419955748
"62","Carex elongata",2.63,0.419955748
"63","Carex echinata",2.66,0.424881637
"64","Carex foetida",1.4179,0.151645603
"65","Carex divulsa",3.03,0.481442629
"66","Carex spicata",1.85,0.267171728
"67","Carex otrubae",2.72,0.434568904
"68","Carex appropinquata",3.25,0.511883361
"69","Carex aquatilis",1.76,0.245512668
"70","Carex nigra",3.29,0.517195898
"71","Carex acuta",2.81,0.44870632
"72","Carex sempervirens",2.96,0.471291711
"73","Carex montana",2.94,0.46834733
"74","Carex pilulifera",3.52,0.546542663
"75","Carex panicea",3.68,0.565847819
"76","Carex mucronata",2.41,0.382017043
"77","Carex flacca",3.36,0.526339277
"78","Carex humilis",2.93,0.46686762
"79","Carex alba",3.57,0.552668216
"80","Carex digitata",3.09,0.489958479
"81","Carex hartmanii",3.33,0.522444234
"82","Carex sylvatica",3.42,0.534026106
"83","Carex distans",2.94,0.46834733
"84","Carex hostiana",3.41,0.532754379
"85","Carex flava",2.66,0.424881637
"86","Carex extensa",3.73,0.571708832
"87","Carex caryophyllea",2.38,0.376576957
"88","Carex pallescens",3.16,0.499687083
"89","Carex acutiformis",2.07,0.315970345
"90","Carex elata",3.21,0.506505032
"91","Carex limosa",2.53,0.403120521
"92","Carex pseudocyperus",2.84,0.45331834
"93","Carex vesicaria",3.16,0.499687083
"94","Carex rostrata",2.87,0.457881897
"95","Carex lasiocarpa",2.78,0.444044796
"96","Carex riparia",3.33,0.522444234
"97","Carex hirta",3.57,0.552668216
"98","Cyperus flavescens",2.23,0.348304863
"99","Schoenus ferrugineus",2.38,0.376576957
"100","Eriophorum latifolium",0.59,-0.229147988
"101","Stipa pulcherrima",2.36,0.372912003
"102","Bromus benekenii",3.38,0.5289167
"103","Bromus racemosus",2.7773,0.443622794
"104","Coleanthus subtilis",1.59,0.201397124
"105","Melica ciliata",0.78,-0.107905397
"106","Cutandia maritima",3.01,0.478566496
"107","Elymus pycnanthus",3.03,0.481442629
"108","Trisetum distichophyllum",1.5851,0.200056666
"109","Parapholis filiformis",3.01,0.478566496
"110","Parapholis strigosa",3.45,0.537819095
"111","Festuca cinerea",1.69,0.227886705
"112","Festuca trichophylla",1.9713,0.294752722
"113","Festuca nigrescens",1.9498,0.289990066
"114","Apera spica-venti",1.73,0.238046103
"115","Nardus stricta",2.68,0.428134794
"116","Melica picta",2.63,0.419955748
"117","Melica nutans",1.87,0.271841607
"118","Melica uniflora",3.64,0.561101384
"119","Glyceria striata",2.27,0.356025857
"120","Glyceria maxima",0.87704,-0.056980599
"121","Glyceria fluitans",3.68,0.565847819
"122","Briza maxima",2.28,0.357934847
"123","Brachypodium pinnatum",2.99,0.475671188
"124","Brachypodium sylvaticum",3.59,0.555094449
"125","Stipa pennata",3.91,0.592176757
"126","Stipa capillata",2.91,0.463892989
"127","Achnatherum calamagrostis",1.03,0.012837225
"128","Bromus erectus",3.9,0.591064607
"129","Bromus inermis",2.0524,0.312262006
"130","Bromus ramosus",3.29,0.517195898
"131","Bromus rubens",3.09,0.489958479
"132","Bromus tectorum",3.01,0.478566496
"133","Bromus sterilis",4.62,0.664641976
"134","Bromus secalinus",3.91,0.592176757
"135","Bromus commutatus",2.1844,0.339332168
"136","Bromus hordeaceus",3.19,0.503790683
"137","Bromus arvensis",2.1806,0.338576008
"138","Bromus japonicus",1.615,0.208172527
"139","Bromus squarrosus",3.42,0.534026106
"140","Hordeum murinum",3.84,0.584331224
"141","Hordeum secalinum",3.62,0.558708571
"142","Hordeum vulgare",5.06,0.704150517
"143","Hordeum jubatum",2.81,0.44870632
"144","Hordelymus europaeus",2.59,0.413299764
"145","Eremopyrum triticeum",3.07,0.487138375
"146","Elymus caninus",4.55,0.658011397
"147","Elymus farctus",3.68,0.565847819
"148","Elymus repens",3.29,0.517195898
"149","Secale cereale",5.5,0.740362689
"150","Triticum durum",4.9,0.69019608
"151","Triticum spelta",5,0.698970004
"152","Triticum aestivum",4.61,0.663700925
"153","Dactylis glomerata",3.33,0.522444234
"154","Cynosurus cristatus",2.94,0.46834733
"155","Desmazeria rigida",1.78,0.250420002
"156","Festuca arundinacea",3.57,0.552668216
"157","Festuca pratensis",3.47,0.540329475
"158","Festuca gigantea",4.56,0.658964843
"159","Lolium multiflorum",3.77,0.57634135
"160","Lolium perenne",3.42,0.534026106
"161","Lolium temulentum",4.62,0.664641976
"162","Lolium rigidum",3.44,0.536558443
"163","Micropyrum tenellum",1.8267,0.261667229
"164","Vulpia myuros",3.29,0.517195898
"165","Vulpia bromoides",3.82,0.582063363
"166","Festuca heterophylla",1.36,0.133538908
"167","Festuca rubra",2.98,0.474216264
"168","Festuca filiformis",2.25,0.352182518
"169","Festuca rupicaprina",1.0843,0.035149458
"170","Festuca polesica",1.949,0.289811839
"171","Festuca ovina",3.25,0.511883361
"172","Festuca rupicola",1.63,0.212187604
"173","Festuca pallens",1.5101,0.179005708
"174","Festuca valesiaca",0.98,-0.008773924
"175","Aira praecox",1.87,0.271841607
"176","Aira caryophyllea",1.7,0.230448921
"177","Deschampsia cespitosa",2.84,0.45331834
"178","Deschampsia setacea",1.4,0.146128036
"179","Holcus lanatus",2.74,0.437750563
"180","Holcus mollis",2,0.301029996
"181","Mibora minima",1.5328,0.185485492
"182","Sesleria caerulea",3.29,0.517195898
"183","Phalaris coerulescens",3.33,0.522444234
"184","Phalaris arundinacea",3.33,0.522444234
"185","Trisetum flavescens",1.25,0.096910013
"186","Koeleria macrantha",1.79,0.252853031
"187","Arrhenatherum elatius",3.29,0.517195898
"188","Avena sterilis",4.52,0.655138435
"189","Avena sativa",4.85,0.685741739
"190","Avena fatua",4.28,0.631443769
"191","Corynephorus canescens",1.38,0.139879086
"192","Hierochloe australis",2.23,0.348304863
"193","Anthoxanthum alpinum",1.4271,0.154454406
"194","Anthoxanthum odoratum",3.09,0.489958479
"195","Briza media",3.25,0.511883361
"196","Calamagrostis arundinacea",1.64,0.214843848
"197","Calamagrostis stricta",2.78,0.444044796
"198","Ammophila arenaria",3.58,0.553883027
"199","Calamagrostis pseudophragmites",0.21,-0.677780705
"200","Agrostis gigantea",1.86,0.269512944
"201","Agrostis capillaris",1.34,0.127104798
"202","Agrostis vinealis",1.59,0.201397124
"203","Agrostis stolonifera",2.02,0.305351369
"204","Puccinellia distans",2.27,0.356025857
"205","Alopecurus pratensis",3.15,0.498310554
"206","Alopecurus geniculatus",1.2251,0.08817154
"207","Alopecurus aequalis",1.92,0.283301229
"208","Phleum pratense",3.42,0.534026106
"209","Milium effusum",3.89,0.589949601
"210","Poa annua",2.78,0.444044796
"211","Poa bulbosa",3.25,0.511883361
"212","Poa badensis",1.04,0.017033339
"213","Poa alpina",2.27,0.356025857
"214","Poa trivialis",2.53,0.403120521
"215","Poa compressa",1.79,0.252853031
"216","Poa palustris",1.7,0.230448921
"217","Poa nemoralis",1.89,0.276461804
"218","Poa chaixii",1.81,0.257678575
"219","Poa pratensis",2.36,0.372912003
"220","Molinia caerulea",3.33,0.522444234
"221","Phragmites australis",0.21,-0.677780705
"222","Sorghum bicolor",5.71,0.756636108
"223","Sorghum halepense",2.4,0.380211242
"224","Chrysopogon gryllus",2.06,0.31386722
"225","Setaria viridis",3.96,0.597695186
"226","Setaria verticillata",3.33,0.522444234
"227","Setaria pumila",3.79,0.57863921
"228","Danthonia decumbens",2.66,0.424881637
"229","Eragrostis minor",2.43,0.385606274
"230","Cynodon dactylon",1.45,0.161368002
"231","Koeleria glauca",1.2016,0.07975992
"232","Dichanthium ischaemum",2.5,0.397940009
"233","Deschampsia flexuosa",1.94,0.28780173
"234","Triticum dicoccon",5,0.698970004
"235","Phleum rhaeticum",1.266,0.102433706
"236","Phleum arenarium",2.45,0.389166084
"237","Poa angustifolia",2.14,0.330413773
"238","Hierochloe odorata",1.84,0.264817823
"239","Phalaris minor",3.05,0.484299839
"240","Digitaria ischaemum",2.19,0.340444115
"241","Calamagrostis epigejos",0.17686,-0.752370379
"242","Calamagrostis canescens",0.91,-0.040958608
"243","Calamagrostis varia",0.68,-0.167491087
"244","Echinochloa crus-galli",3.38,0.5289167
"245","Puccinellia rupestris",2.6,0.414973348
"246","Avenula pratensis",2.45,0.389166084
"247","Avenula pubescens",2.84,0.45331834
"248","Typha angustifolia",0.14,-0.853871964
"249","Typha shuttleworthii",0.18,-0.744727495
"250","Typha latifolia",0.13,-0.886056648
"251","Sparganium erectum",4.31,0.63447727
"252","Sparganium minimum",2.87,0.457881897
"253","Anthericum ramosum",3.98,0.599883072
"254","Anthericum liliago",4.1,0.612783857
"255","Asparagus officinalis",4.9,0.69019608
"256","Maianthemum bifolium",4.92,0.691965103
"257","Polygonatum multiflorum",4.98,0.697229343
"258","Polygonatum odoratum",5,0.698970004
"259","Convallaria majalis",5.01,0.699837726
"260","Ornithogalum narbonense",4.42,0.645422269
"261","Ornithogalum nutans",4.9,0.69019608
"262","Scilla bifolia",4.79,0.680335513
"263","Muscari tenuiflorum",3.5,0.544068044
"264","Muscari comosum",4.81,0.682145076
"265","Hyacinthoides non-scripta",4.63,0.665580991
"266","Allium sphaerocephalon",3.52,0.546542663
"267","Allium ursinum",4.7,0.672097858
"268","Allium ericetorum",2.92,0.465382851
"269","Allium oleraceum",4.14,0.617000341
"270","Allium schoenoprasum",3.42,0.534026106
"271","Allium vineale",4.66,0.668385917
"272","Leucojum vernum",4.15,0.618048097
"273","Gladiolus palustris",3.47,0.540329475
"274","Gladiolus italicus",4.79,0.680335513
"275","Iris sibirica",3.79,0.57863921
"276","Iris spuria",4.17,0.620136055
"277","Iris foetidissima",5.15,0.711807229
"278","Iris graminea",4.38,0.641474111
"279","Iris pseudacorus",4.81,0.682145076
"280","Neottia nidus-avis",0.25,-0.602059991
"281","Cypripedium calceolus",0.25,-0.602059991
"282","Epipogium aphyllum",0.42,-0.37675071
"283","Epipactis palustris",0.2,-0.698970004
"284","Epipactis helleborine",0.19,-0.721246399
"285","Gymnadenia conopsea",0.32,-0.494850022
"286","Dactylorhiza maculata",0.3,-0.522878745
"287","Dactylorhiza majalis",0.28,-0.552841969
"288","Liparis loeselii",0.21,-0.677780705
"289","Corallorhiza trifida",0.22,-0.657577319
"290","Epipactis atrorubens",0.23,-0.638272164
"291","Serapias cordigera",0.15,-0.823908741
"292","Dactylorhiza incarnata",0.3,-0.522878745
"293","Erythronium dens-canis",4.32,0.635483747
"294","Fritillaria meleagris",2,0.301029996
"295","Lilium bulbiferum",2.26,0.354108439
"296","Lilium martagon",1.93,0.285557309
"297","Colchicum autumnale",6.27,0.797267541
"298","Veratrum album",1.73,0.238046103
"299","Paris quadrifolia",4.64,0.666517981
"300","Narthecium ossifragum",0.97,-0.013228266
"301","Alisma plantago-aquatica",2.05,0.311753861
"302","Luronium natans",2.5,0.397940009
"303","Baldellia ranunculoides",2.27,0.356025857
"304","Alisma gramineum",2.31,0.36361198
"305","Alisma lanceolatum",1.97,0.294466226
"306","Sagittaria sagittifolia",2.14,0.330413773
"307","Triglochin maritima",2.53,0.403120521
"308","Triglochin palustris",2.16,0.334453751
"309","Butomus umbellatus",2.19,0.340444115
"310","Scheuchzeria palustris",3.47,0.540329475
"311","Potamogeton polygonifolius",3.97,0.598790507
"312","Potamogeton natans",3.95,0.596597096
"313","Potamogeton alpinus",3.33,0.522444234
"314","Calla palustris",4.55,0.658011397
"315","Arum maculatum",4.9,0.69019608
"316","Acorus calamus",2.6,0.414973348
"317","Thlaspi alliaceum",2.34,0.369215857
"318","Thlaspi caerulescens",2.85,0.45484486
"319","Capsella bursa-pastoris",2.29,0.359835482
"320","Erysimum crepidifolium",2.72,0.434568904
"321","Erophila verna",1.47,0.167317335
"322","Cardaminopsis arenosa",1.98,0.29666519
"323","Kernera saxatilis",1.89,0.276461804
"324","Coronopus didymus",3.07,0.487138375
"325","Coronopus squamatus",3.02,0.480006943
"326","Barbarea stricta",2.84,0.45331834
"327","Hesperis matronalis",4.52,0.655138435
"328","Thlaspi arvense",3.52,0.546542663
"329","Alliaria petiolata",4.25,0.62838893
"330","Lepidium campestre",3.79,0.57863921
"331","Barbarea vulgaris",3.6,0.556302501
"332","Cardamine impatiens",2.27,0.356025857
"333","Cardamine pratensis",3.9,0.591064607
"334","Cardamine hirsuta",1.74,0.240549248
"335","Cardamine heptaphylla",4.41,0.644438589
"336","Cardamine resedifolia",1.956,0.29136885
"337","Nasturtium microphyllum",1.93,0.285557309
"338","Nasturtium officinale",2.53,0.403120521
"339","Rorippa austriaca",1.95,0.290034611
"340","Rorippa sylvestris",1.8,0.255272505
"341","Rorippa palustris",1.63,0.212187604
"342","Pritzelago alpina",2.53,0.403120521
"343","Hornungia petraea",1.89,0.276461804
"344","Descurainia sophia",3.59,0.555094449
"345","Camelina microcarpa",2.23,0.348304863
"346","Cochlearia officinalis",3.35,0.525044807
"347","Cochlearia danica",2.72,0.434568904
"348","Arabidopsis thaliana",1.19,0.075546961
"349","Malcolmia maritima",3.39,0.530199698
"350","Erysimum cheiranthoides",2.81,0.44870632
"351","Erysimum cheiri",3.13,0.495544338
"352","Lunaria rediviva",3.57,0.552668216
"353","Lunaria annua",3.13,0.495544338
"354","Biscutella laevigata",2.08,0.318063335
"355","Arabis turrita",1.73,0.238046103
"356","Arabis pumila",1.21,0.08278537
"357","Arabis soyeri",1.095,0.039414119
"358","Arabis hirsuta",1.89,0.276461804
"359","Alyssum alyssoides",2.1442,0.331265292
"360","Berteroa incana",3.05,0.484299839
"361","Aurinia saxatilis",2.18,0.338456494
"362","Thlaspi perfoliatum",4.02,0.604226053
"363","Diplotaxis muralis",1.53,0.184691431
"364","Hirschfeldia incana",3,0.477121255
"365","Sisymbrium officinale",2.8,0.447158031
"366","Sisymbrium loeselii",2.4,0.380211242
"367","Sisymbrium altissimum",2.53,0.403120521
"368","Raphanus raphanistrum",4.18,0.621176282
"369","Cakile maritima",4.17,0.620136055
"370","Sinapis alba",4.69,0.671172843
"371","Rapistrum rugosum",4.21,0.624282096
"372","Sinapis arvensis",4.39,0.64246452
"373","Brassica nigra",4.17,0.620136055
"374","Brassica rapa",4.72,0.673941999
"375","Brassica oleracea",4.62,0.664641976
"376","Raphanus sativus",5.26,0.720985744
"377","Teesdalia nudicaulis",2.87,0.457881897
"378","Lobularia maritima",2.59,0.413299764
"379","Arabis alpina",2.1,0.322219295
"380","Draba muralis",1.6,0.204119983
"381","Draba incana",1.77,0.247973266
"382","Aethionema saxatile",3.21,0.506505032
"383","Reseda luteola",3.07,0.487138375
"384","Reseda lutea",3.45,0.537819095
"385","Acer saccharophorum",0.945,-0.024568191
"386","Acer campestre",1.52,0.181843588
"387","Acer platanoides",1.25,0.096910013
"388","Acer negundo",0.78,-0.107905397
"389","Acer pseudoplatanus",1.1,0.041392685
"390","Ailanthus altissima",0.91,-0.040958608
"391","Ruta graveolens",3.86,0.586587305
"392","Dictamnus albus",4.7,0.672097858
"393","Ptelea trifoliata",1.5,0.176091259
"394","Fumana procumbens",4.15,0.618048097
"395","Helianthemum oelandicum",3.67,0.564666064
"396","Helianthemum nummularium",4.16,0.619093331
"397","Tilia cordata",1.33,0.123851641
"398","Tilia platyphyllos",1.7,0.230448921
"399","Althaea officinalis",3.73,0.571708832
"400","Malva pusilla",3.57,0.552668216
"401","Malva moschata",3.33,0.522444234
"402","Malva sylvestris",4.13,0.615950052
"403","Malva verticillata",3.85,0.58546073
"404","Oenothera parviflora",2.78,0.444044796
"405","Oenothera ammophila",2.81,0.44870632
"406","Epilobium angustifolium",0.19,-0.721246399
"407","Epilobium roseum",0.16,-0.795880017
"408","Epilobium fleischeri",0.15,-0.823908741
"409","Circaea lutetiana",2.39,0.378397901
"410","Epilobium dodonaei",0.2,-0.698970004
"411","Epilobium parviflorum",0.22,-0.657577319
"412","Epilobium montanum",0.18,-0.744727495
"413","Epilobium hirsutum",0.23,-0.638272164
"414","Epilobium tetragonum",0.14,-0.853871964
"415","Epilobium ciliatum",0.28,-0.552841969
"416","Epilobium palustre",0.16,-0.795880017
"417","Epilobium anagallidifolium",0.25,-0.602059991
"418","Oenothera biennis",2.78,0.444044796
"419","Lythrum hyssopifolia",2.31,0.36361198
"420","Lythrum salicaria",1.61,0.206825876
"421","Lythrum portula",1.2,0.079181246
"422","Erodium lebelii",3.73,0.571708832
"423","Erodium cicutarium",3.09,0.489958479
"424","Erodium malacoides",2.9,0.462397998
"425","Geranium robertianum",3.72,0.57054294
"426","Geranium pusillum",3.42,0.534026106
"427","Geranium sanguineum",4.71,0.673020907
"428","Geranium molle",3.83,0.583198774
"429","Geranium pratense",4.65,0.667452953
"430","Geranium sylvaticum",3.03,0.481442629
"431","Geranium nodosum",4.6,0.662757832
"432","Hippophae rhamnoides",3.91,0.592176757
"433","Urtica dioica",2.44,0.387389826
"434","Urtica urens",3.06,0.485721426
"435","Cannabis sativa",4.9,0.69019608
"436","Humulus lupulus",0.98,-0.008773924
"437","Frangula alnus",4.31,0.63447727
