"","species","velocity","log.velocity"
"868","Hieracium caespitosum",0.49,-0.30980392
"869","Hieracium echioides",0.94,-0.026872146
"870","Hieracium alpinum",0.92936,-0.031816024
"871","Hieracium porrifolium",1.25,0.096910013
"872","Hieracium sabaudum",0.87,-0.060480747
"873","Hieracium laevigatum",0.93,-0.031517051
"874","Hieracium umbellatum",0.84,-0.075720714
"875","Hieracium glaucum",0.72,-0.142667504
"876","Hieracium murorum",0.6,-0.22184875
"877","Hieracium bifidum",0.58,-0.236572006
"878","Cicerbita alpina",1.02,0.008600172
"879","Mycelis muralis",0.47,-0.327902142
"880","Lactuca virosa",1.16,0.064457989
"881","Lactuca serriola",0.77,-0.113509275
"882","Lactuca perennis",1.756,0.244524512
"883","Lapsana communis",3.59,0.555094449
"884","Crepis praemorsa",1.3,0.113943352
"885","Crepis mollis",0.54,-0.26760624
"886","Crepis paludosa",0.92,-0.036212173
"887","Crepis foetida",2.21,0.344392274
"888","Crepis vesicaria",0.4,-0.397940009
"889","Crepis capillaris",0.42,-0.37675071
"890","Crepis biennis",1.5,0.176091259
"891","Prenanthes purpurea",0.85,-0.070581074
"892","Hypochaeris glabra",0.93,-0.031517051
"893","Picris hieracioides",1.07,0.029383778
"894","Leontodon hispidus",1.49,0.173186268
"895","Leontodon taraxacoides",0.97,-0.013228266
"896","Leontodon incanus",1,0
"897","Hypochaeris maculata",0.83,-0.080921908
"898","Hypochaeris uniflora",0.62,-0.207608311
"899","Sonchus arvensis",1.3,0.113943352
"900","Aposeris foetida",3.35,0.525044807
"901","Sonchus palustris",0.43,-0.366531544
"902","Sonchus asper",0.37,-0.431798276
"903","Sonchus oleraceus",0.58,-0.236572006
"904","Cotula coronopifolia",1.55,0.190331698
"905","Tussilago farfara",0.21,-0.677780705
"906","Homogyne alpina",0.42092,-0.375800438
"907","Adenostyles leucophylla",0.72133,-0.141866005
"908","Senecio nemorensis",0.46,-0.337242168
"909","Senecio doronicum",0.52,-0.283996656
"910","Senecio vulgaris",0.42,-0.37675071
"911","Senecio vernalis",1.29,0.11058971
"912","Senecio sylvaticus",0.24,-0.619788758
"913","Senecio viscosus",0.66,-0.180456064
"914","Senecio squalidus",0.46,-0.337242168
"915","Senecio inaequidens",0.87,-0.060480747
"916","Aster amellus",0.98,-0.008773924
"917","Cicerbita macrophylla",0.29,-0.537602002
"918","Aster tripolium",0.87,-0.060480747
"919","Aster bellidiastrum",0.39596,-0.402348684
"920","Bellis perennis",1.77,0.247973266
"921","Conyza bonariensis",0.29,-0.537602002
"922","Erigeron karvinskianus",0.48,-0.318758763
"923","Conyza canadensis",0.49,-0.30980392
"924","Solidago virgaurea",0.83,-0.080921908
"925","Rudbeckia hirta",2.13,0.328379603
"926","Solidago canadensis",0.46,-0.337242168
"927","Solidago gigantea",0.79,-0.102372909
"928","Artemisia campestris",2.5,0.397940009
"929","Artemisia vulgaris",1.55,0.190331698
"930","Leucanthemum vulgare",2.87,0.457881897
"931","Chrysanthemum segetum",3.64,0.561101384
"932","Chrysanthemum coronarium",4.1,0.612783857
"933","Tanacetum vulgare",2.33,0.367355921
"934","Achillea ptarmica",2.27,0.356025857
"935","Tanacetum corymbosum",1.83,0.26245109
"936","Achillea nana",1.5084,0.178516524
"937","Achillea atrata",0.92424,-0.03421524
"938","Achillea nobilis",1.1353,0.055110638
"939","Achillea millefolium",1.92,0.283301229
"940","Achillea filipendulina",1.4,0.146128036
"941","Antennaria dioica",0.17,-0.769551079
"942","Antennaria carpatica",0.21,-0.677780705
"943","Logfia minima",0.24,-0.619788758
"944","Helichrysum arenarium",0.36,-0.443697499
"945","Bidens frondosa",2.4,0.380211242
"946","Bidens cernua",1.77,0.247973266
"947","Bidens tripartita",2.34,0.369215857
"948","Arnica montana",0.83,-0.080921908
"949","Eupatorium cannabinum",1.02,0.008600172
"950","Galinsoga ciliata",1.34,0.127104798
"951","Helianthus annuus",5.44,0.7355989
"952","Xanthium strumarium",4.39,0.64246452
"953","Leuzea rhapontica",0.5,-0.301029996
"954","Senecio jacobaea",1,0
"955","Senecio erucifolius",0.38,-0.420216403
"956","Senecio incanus",0.86847,-0.061245179
"957","Senecio paludosus",0.63,-0.200659451
"958","Senecio aquaticus",1.01,0.004321374
"959","Filago lutescens",1.0897,0.037306951
"960","Taraxacum species",0.74,-0.13076828
"961","Serratula tinctoria",1.05,0.021189299
"962","Filaginella uliginosa",0.26,-0.585026652
"963","Tripleurospermum perforatum",2.27,0.356025857
"964","Picris echioides",0.95,-0.022276395
"965","Picris pauciflora",3.36,0.526339277
"966","Petasites hybridus",0.28,-0.552841969
"967","Matricaria maritima",2.48,0.394451681
"968","Rudbeckia laciniata",3.29,0.517195898
"969","Hieracium amplexicaule",1.8,0.255272505
"970","Hieracium vulgatum",0.94,-0.026872146
"971","Solidago altissima",0.28,-0.552841969
"972","Solidago graminifolia",0.165,-0.782516056
"973","Anthemis tinctoria",2.71,0.432969291
"974","Leucanthemopsis alpina",1.46,0.164352856
"975","Cirsium dissectum",0.64,-0.193820026
"976","Cirsium acaule",0.387,-0.412289035
"977","Cirsium pannonicum",3.78,0.5774918
"978","Cirsium eriophorum",0.62,-0.207608311
"979","Centaurea rhenana",3.52,0.546542663
"980","Centaurea triumfetti",3.87,0.587710965
"981","Centaurea nigrescens",3.57,0.552668216
"982","Bidens connata",2.48,0.394451681
"983","Bidens radiata",1.53,0.184691431
"984","Gnaphalium luteo-album",0.75,-0.124938737
"985","Menyanthes trifoliata",3.97,0.598790507
"986","Phyteuma scheuchzeri",1.47,0.167317335
"987","Phyteuma ovatum",2.25,0.352182518
"988","Phyteuma betonicifolium",1.385,0.141449773
"989","Adenophora lilifolia",2.94,0.46834733
"990","Lobelia erinus",1.63,0.212187604
"991","Lobelia dortmanna",1.49,0.173186268
"992","Campanula thyrsoides",1.3566,0.132451813
"993","Campanula spicata",1.49,0.173186268
"994","Campanula latifolia",2.03,0.307496038
"995","Campanula trachelium",2.41,0.382017043
"996","Campanula sibirica",1.34,0.127104798
"997","Campanula rapunculoides",2.3,0.361727836
"998","Campanula glomerata",2.16,0.334453751
"999","Jasione montana",1.44,0.158362492
"1000","Jasione laevis",1.97,0.294466226
"1001","Campanula carpatica",1.69,0.227886705
"1002","Campanula pyramidalis",1.77,0.247973266
"1003","Campanula cenisia",1.2112,0.083215862
"1004","Campanula rotundifolia",1.87,0.271841607
"1005","Campanula scheuchzeri",1.6722,0.223288219
"1006","Campanula persicifolia",1.86,0.269512944
"1007","Phyteuma spicatum",2.43,0.385606274
"1008","Physoplexis comosa",1.78,0.250420002
"1009","Campanula cervicaria",1.43,0.155336037
"1010","Campanula barbata",1.4215,0.152746864
"1011","Scabiosa lucida",1.7,0.230448921
"1012","Lonicera periclymenum",3.97,0.598790507
"1013","Lonicera caerulea",3.57,0.552668216
"1014","Scabiosa atropurpurea",2.86,0.456366033
"1015","Scabiosa columbaria",2.72,0.434568904
"1016","Scabiosa ochroleuca",2.91,0.463892989
"1017","Succisa pratensis",3.01,0.478566496
"1018","Succisella inflexa",2.87,0.457881897
"1019","Knautia arvensis",3.61,0.557507202
"1020","Dipsacus fullonum",3.42,0.534026106
"1021","Dipsacus laciniatus",2.56,0.408239965
"1022","Dipsacus pilosus",3.79,0.57863921
"1023","Valerianella carinata",1.93,0.285557309
"1024","Valerianella dentata",3.09,0.489958479
"1025","Valeriana officinalis",1.35,0.130333768
"1026","Valeriana dioica",0.98,-0.008773924
"1027","Centranthus ruber",1.08,0.033423755
"1028","Viburnum opulus",4.1,0.612783857
"1029","Symphytum officinale",4.52,0.655138435
"1030","Symphytum tuberosum",4.35,0.638489257
"1031","Cynoglossum officinale",4.24,0.627365857
"1032","Myosotis arvensis",3.08,0.488550717
"1033","Myosotis ramosissima",2.1,0.322219295
"1034","Myosotis alpestris",2.9,0.462397998
"1035","Myosotis scorpioides",2.44,0.387389826
"1036","Myosotis stricta",1.88,0.274157849
"1037","Pulmonaria officinalis",4.07,0.609594409
"1038","Anchusa azurea",4.96,0.695481676
"1039","Borago officinalis",5.6,0.748188027
"1040","Anchusa officinalis",3.97,0.598790507
"1041","Echium vulgare",4.03,0.605305046
"1042","Buglossoides purpurocaerulea",4.2,0.62324929
"1043","Buglossoides arvensis",4.63,0.665580991
"1044","Phacelia tanacetifolia",3.62,0.558708571
"1045","Galium megalospermum",1.7933,0.253652948
"1046","Galium sterneri",3.31,0.519827994
"1047","Galium schultesii",2.79,0.445604203
"1048","Galium truniacum",2.2584,0.353800865
"1049","Galium verrucosum",4.62,0.664641976
"1050","Galium odoratum",2.4,0.380211242
"1051","Galium aparine",4.83,0.683947131
"1052","Galium saxatile",3.57,0.552668216
"1053","Galium pumilum",3.13,0.495544338
"1054","Galium parisiense",3.31,0.519827994
"1055","Galium uliginosum",3.13,0.495544338
"1056","Galium mollugo",3.485,0.542202782
"1057","Galium album",3.38,0.5289167
"1058","Galium lucidum",3.75,0.574031268
"1059","Galium verum",3.54,0.549003262
"1060","Galium sylvaticum",3.95,0.596597096
"1061","Asperula purpurea",3.63,0.559906625
"1062","Sherardia arvensis",4.24,0.627365857
"1063","Asperula cynanchica",2.39,0.378397901
"1064","Galium palustre",3.73,0.571708832
"1065","Cruciata glabra",4.08,0.610660163
"1066","Cruciata laevipes",4.53,0.656098202
"1067","Galium boreale",3.29,0.517195898
"1068","Asperula aristata",3.53,0.547774705
"1069","Gentianella uliginosa",2.63,0.419955748
"1070","Blackstonia perfoliata",0.84,-0.075720714
"1071","Centaurium pulchellum",1.28,0.10720997
"1072","Centaurium erythraea",1.01,0.004321374
"1073","Gentiana utriculosa",1.87,0.271841607
"1074","Gentiana verna",1.57,0.195899652
"1075","Gentiana clusii",2.96,0.471291711
"1076","Gentiana asclepiadea",1.11,0.045322979
"1077","Gentiana lutea",2.16,0.334453751
"1078","Gentiana punctata",1.1503,0.06081112
"1079","Gentiana pneumonanthe",1.43,0.155336037
"1080","Gentiana cruciata",1.92,0.283301229
"1081","Swertia perennis",2.45,0.389166084
"1082","Gentianella germanica",3.16,0.499687083
"1083","Gentianella campestris",3.09,0.489958479
"1084","Gentianella amarella",2.6,0.414973348
"1085","Vinca minor",4.41,0.644438589
"1086","Vincetoxicum hirundinaria",0.71,-0.148741651
"1087","Asclepias syriaca",0.3,-0.522878745
"1088","Teucrium montanum",2.8,0.447158031
"1089","Teucrium chamaedrys",3.82,0.582063363
"1090","Teucrium scorodonia",3.89,0.589949601
"1091","Scutellaria minor",2.53,0.403120521
"1092","Galeopsis angustifolia",3.0945,0.490590487
"1093","Galeopsis tetrahit",4.32,0.635483747
"1094","Galeopsis bifida",4.21,0.624282096
"1095","Melittis melissophyllum",3.72,0.57054294
"1096","Stachys sylvatica",3.91,0.592176757
"1097","Stachys recta",3.72,0.57054294
"1098","Stachys officinalis",3.42,0.534026106
"1099","Stachys palustris",3.82,0.582063363
"1100","Ballota nigra",3.1,0.491361694
"1101","Marrubium vulgare",3.89,0.589949601
"1102","Lamium album",3.42,0.534026106
"1103","Lamium maculatum",3.47,0.540329475
"1104","Salvia glutinosa",3.37,0.527629901
"1105","Origanum vulgare",2.12,0.326335861
"1106","Thymus pulegioides",2.6,0.414973348
"1107","Thymus vulgaris",3.58,0.553883027
"1108","Thymus serpyllum",3.05,0.484299839
"1109","Mentha longifolia",2.5,0.397940009
"1110","Mentha suaveolens",1.82,0.260071388
"1111","Mentha pulegium",2.27,0.356025857
"1112","Mentha aquatica",2.75,0.439332694
"1113","Mentha arvensis",2.5,0.397940009
"1114","Clinopodium vulgare",3.52,0.546542663
"1115","Prunella vulgaris",3.6,0.556302501
"1116","Prunella grandiflora",2.83,0.451786436
"1117","Horminum pyrenaicum",3.07,0.487138375
"1118","Nepeta cataria",3.75,0.574031268
"1119","Lycopus europaeus",2.81,0.44870632
"1120","Salvia verticillata",2.98,0.474216264
"1121","Salvia pratensis",4.24,0.627365857
"1122","Leonurus cardiaca",3.09,0.489958479
"1123","Thymus praecox",2.96,0.471291711
"1124","Acinos arvensis",2.37,0.374748346
"1125","Galeopsis segetum",2.4705,0.392784858
"1126","Galeopsis ladanum",2.3305,0.367449107
"1127","Prunella laciniata",3.38,0.5289167
"1128","Verbascum lychnitis",2.21,0.344392274
"1129","Buddleja davidii",1.4,0.146128036
"1130","Verbascum nigrum",2.43,0.385606274
"1131","Verbascum thapsus",2.31,0.36361198
"1132","Scrophularia nodosa",1.98,0.29666519
"1133","Scrophularia auriculata",2.08,0.318063335
"1134","Scrophularia umbrosa",1.92,0.283301229
"1135","Mimulus guttatus",1.52,0.181843588
"1136","Verbena officinalis",2.7,0.431363764
"1137","Rhinanthus angustifolius",2.55,0.40654018
"1138","Pedicularis palustris",3.73,0.571708832
"1139","Pedicularis sceptrum-carolinum",1.55,0.190331698
"1140","Melampyrum pratense",4.55,0.658011397
"1141","Melampyrum cristatum",4.3,0.633468456
"1142","Rhinanthus alectorolophus",2.98,0.474216264
"1143","Rhinanthus glacialis",2.98,0.474216264
"1144","Rhinanthus minor",2.18,0.338456494
"1145","Bartsia alpina",1.97,0.294466226
"1146","Euphrasia officinalis",2.12,0.326335861
"1147","Euphrasia minima",2.9589,0.471130288
"1148","Euphrasia stricta",2,0.301029996
"1149","Orobanche hederae",0.49,-0.30980392
"1150","Pedicularis verticillata",2.1856,0.339570682
"1151","Odontites verna",2.66,0.424881637
"1152","Pinguicula vulgaris",1.46,0.164352856
"1153","Cymbalaria pallida",2.56,0.408239965
"1154","Veronica prostrata",2.11,0.324282455
"1155","Veronica anagallis-aquatica",1.56,0.193124598
"1156","Linaria purpurea",1.7,0.230448921
"1157","Plantago alpina",3.47,0.540329475
"1158","Gratiola officinalis",1.11,0.045322979
"1159","Chaenorhinum minus",1.7,0.230448921
"1160","Antirrhinum majus",1.87,0.271841607
"1161","Linaria vulgaris",2.26,0.354108439
"1162","Linaria repens",1.558,0.192567453
"1163","Linaria alpina",1.03,0.012837225
"1164","Callitriche stagnalis",1.13,0.053078443
"1165","Globularia nudicaulis",2.04,0.309630167
"1166","Globularia cordifolia",1.34,0.127104798
"1167","Digitalis purpurea",1.96,0.292256071
"1168","Plantago lanceolata",4.3,0.633468456
"1169","Plantago lagopus",2.59,0.413299764
"1170","Plantago maritima",3.73,0.571708832
"1171","Plantago coronopus",3.21,0.506505032
"1172","Plantago major",2.91,0.463892989
"1173","Plantago media",2.81,0.44870632
"1174","Veronica beccabunga",1.68,0.225309282
"1175","Veronica catenata",1.41,0.149219113
"1176","Veronica scutellata",2.03,0.307496038
"1177","Veronica urticifolia",1.7,0.230448921
"1178","Veronica officinalis",2.36,0.372912003
"1179","Veronica triphyllos",2.23,0.348304863
"1180","Veronica hederifolia",3.48,0.541579244
"1181","Veronica arvensis",2.23,0.348304863
"1182","Veronica verna",1.26,0.100370545
"1183","Veronica chamaedrys",2.55,0.40654018
"1184","Veronica persica",3.25,0.511883361
"1185","Globularia punctata",1.86,0.269512944
"1186","Fraxinus pennsylvanica",1.62,0.209515015
"1187","Fraxinus americana",1.6,0.204119983
"1188","Fraxinus excelsior",2.17,0.336459734
"1189","Syringa vulgaris",2.67,0.426511261
"1190","Nicotiana alata",2.3,0.361727836
"1191","Solanum dulcamara",3.42,0.534026106
"1192","Cuscuta europaea",3.57,0.552668216
"1193","Cuscuta campestris",3.47,0.540329475
"1194","Convolvulus althaeoides",4.84,0.684845362
"1195","Convolvulus arvensis",4.88,0.688419822
"1196","Calystegia sepium",5.01,0.699837726
"1197","Ipomoea purpurea",5.43,0.73479983
"1198","Calluna vulgaris",1.47,0.167317335
"1199","Erica ciliaris",1.09,0.037426498
"1200","Erica tetralix",1.21,0.08278537
"1201","Erica cinerea",1.58,0.198657087
"1202","Rhodothamnus chamaecistus",1.38,0.139879086
"1203","Rhododendron ponticum",1.05,0.021189299
"1204","Chamaedaphne calyculata",1.87,0.271841607
"1205","Andromeda polifolia",2.25,0.352182518
"1206","Vaccinium myrtillus",2.78,0.444044796
"1207","Vaccinium vitis-idaea",2.94,0.46834733
"1208","Ledum palustre",0.58,-0.236572006
"1209","Erica herbacea",1.78,0.250420002
"1210","Polemonium caeruleum",3.3,0.51851394
"1211","Samolus valerandi",1.38,0.139879086
"1212","Trientalis europaea",3.16,0.499687083
"1213","Anagallis tenella",2.16,0.334453751
"1214","Anagallis minima",1.54,0.187520721
"1215","Lysimachia punctata",2.98,0.474216264
"1216","Lysimachia vulgaris",2.7,0.431363764
"1217","Androsace septentrionalis",1.9949,0.29992113
"1218","Androsace alpina",1.8883,0.276070993
"1219","Androsace lactea",1.7,0.230448921
"1220","Primula elatior",3.29,0.517195898
"1221","Primula veris",3.67,0.564666064
"1222","Primula vulgaris",3.62,0.558708571
"1223","Primula farinosa",1.94,0.28780173
"1224","Soldanella pusilla",2.3108,0.363762359
"1225","Primula auricula",2.55,0.40654018
"1226","Impatiens noli-tangere",4.1,0.612783857
"1227","Impatiens parviflora",4.39,0.64246452
"1228","Impatiens glandulifera",4.72,0.673941999
"1229","Pulsatilla alpina",2.12,0.326335861
"1230","Aquilegia einseleana",3.15,0.498310554
"1231","Aquilegia vulgaris",3.85,0.58546073
"1232","Aquilegia atrata",3.78,0.5774918
"1233","Thalictrum minus",3.68,0.565847819
"1234","Thalictrum flavum",3.57,0.552668216
"1235","Thalictrum lucidum",3.21,0.506505032
"1236","Adonis vernalis",1.6,0.204119983
"1237","Trollius europaeus",3.56,0.551449998
"1238","Caltha palustris",3.16,0.499687083
"1239","Nigella damascena",3.49,0.542825427
"1240","Aconitum napellus",3.33,0.522444234
"1241","Helleborus foetidus",4.72,0.673941999
"1242","Helleborus niger",4.58,0.660865478
"1243","Helleborus viridis",4.55,0.658011397
"1244","Anemone nemorosa",3.16,0.499687083
"1245","Anemone ranunculoides",3.68,0.565847819
"1246","Pulsatilla vernalis",1,0
"1247","Pulsatilla vulgaris",1.8,0.255272505
"1248","Pulsatilla pratensis",1.25,0.096910013
"1249","Hepatica nobilis",3.17,0.501059262
"1250","Clematis recta",3.79,0.57863921
"1251","Clematis alpina",1,0
"1252","Clematis vitalba",1.59,0.201397124
"1253","Myosurus minimus",1.89,0.276461804
"1254","Ranunculus aconitifolius",3.73,0.571708832
"1255","Ranunculus platanifolius",3.56,0.551449998
"1256","Ranunculus glacialis",1.2734,0.104964846
"1257","Ranunculus auricomus",3.16,0.499687083
"1258","Ranunculus sceleratus",2.16,0.334453751
"1259","Ranunculus thora",4.47,0.650307523
"1260","Ranunculus hybridus",2.6791,0.427988924
"1261","Ranunculus flammula",3.22,0.507855872
"1262","Ranunculus arvensis",7.81,0.892651034
"1263","Ranunculus bulbosus",3.62,0.558708571
"1264","Ranunculus sardous",3.38,0.5289167
"1265","Ranunculus repens",3.47,0.540329475
"1266","Ranunculus acris",3.62,0.558708571
"1267","Ranunculus ficaria",2.63,0.419955748
"1268","Ranunculus parnassiifolius",2.391,0.378579576
"1269","Fumaria muralis",3.1,0.491361694
"1270","Fumaria officinalis",4.39,0.64246452
"1271","Eschscholzia californica",4.31,0.63447727
"1272","Chelidonium majus",3.56,0.551449998
"1273","Glaucium flavum",3.73,0.571708832
"1274","Argemone mexicana",4.51,0.654176542
"1275","Papaver argemone",2.55,0.40654018
"1276","Papaver dubium",2.52,0.401400541
"1277","Papaver rhoeas",2.43,0.385606274
"1278","Papaver somniferum",5,0.698970004
"1279","Corydalis solida",3.68,0.565847819
"1280","Platanus occidentalis",1.66,0.220108088
"1281","Asarum europaeum",3.85,0.58546073
"1282","Aristolochia clematitis",4.03,0.605305046
"1283","Liriodendron tulipifera",1.25,0.096910013
"1284","Cedrus atlantica",1.9,0.278753601
"1285","Cryptomeria japonica",2.84,0.45331834
"1286","Thuja plicata",1.25,0.096910013
"1287","Juniperus communis",4.72,0.673941999
